booking_id,ride_id,rider_id,seats_booked,total_price,status,booked_at
1,1,572,1,5.17,CONFIRMED,2015-05-09 19:26:00
2,1,570,1,5.17,CONFIRMED,2015-05-09 23:26:00
3,1,526,1,5.17,CONFIRMED,2015-05-09 12:26:00
4,1,419,1,5.17,CONFIRMED,2015-05-08 17:26:00
5,2,587,1,4.97,CONFIRMED,2015-05-10 20:46:00
6,2,535,1,4.97,CONFIRMED,2015-05-10 07:46:00
7,3,151,1,13.01,CONFIRMED,2015-05-10 19:15:00
8,3,66,1,13.01,CONFIRMED,2015-05-12 01:15:00
9,3,173,1,13.01,CONFIRMED,2015-05-12 07:15:00
10,3,447,1,13.01,CONFIRMED,2015-05-11 18:15:00
11,4,973,4,103.96,CONFIRMED,2015-05-13 23:24:00
12,5,452,1,13.43,CONFIRMED,2015-05-14 23:29:00
13,5,344,2,26.86,CONFIRMED,2015-05-13 22:29:00
14,5,442,2,26.86,CONFIRMED,2015-05-13 10:29:00
15,6,335,2,8.12,CANCELLED,2015-05-16 06:32:00
16,6,387,2,8.12,CONFIRMED,2015-05-17 07:32:00
17,7,560,1,9.4,PENDING,2015-05-16 09:24:00
18,7,186,1,9.4,CONFIRMED,2015-05-17 07:24:00
19,7,700,1,9.4,CANCELLED,2015-05-16 16:24:00
20,8,144,1,8.7,CONFIRMED,2015-05-17 00:12:00
21,8,650,1,8.7,CONFIRMED,2015-05-16 17:12:00
22,8,312,1,8.7,CONFIRMED,2015-05-17 01:12:00
23,8,249,1,8.7,CONFIRMED,2015-05-17 08:12:00
24,9,610,1,3.27,CONFIRMED,2015-05-17 13:22:00
25,9,655,1,3.27,CONFIRMED,2015-05-19 05:22:00
26,9,938,1,3.27,PENDING,2015-05-17 16:22:00
27,9,89,1,3.27,CONFIRMED,2015-05-18 22:22:00
28,9,113,1,3.27,CONFIRMED,2015-05-16 16:22:00
29,10,458,2,14.12,CONFIRMED,2015-05-17 04:00:00
30,10,385,1,7.06,CONFIRMED,2015-05-19 17:00:00
31,11,109,1,4.27,CONFIRMED,2015-05-19 14:42:00
32,11,304,1,4.27,CONFIRMED,2015-05-17 22:42:00
33,11,427,1,4.27,CONFIRMED,2015-05-18 12:42:00
34,11,944,1,4.27,CONFIRMED,2015-05-17 23:42:00
35,12,70,1,7.66,CONFIRMED,2015-05-29 17:00:00
36,12,309,1,7.66,CONFIRMED,2015-05-30 15:00:00
37,12,47,1,7.66,CONFIRMED,2015-05-28 14:00:00
38,13,340,2,14.96,PENDING,2015-05-31 16:17:00
39,13,575,2,14.96,CONFIRMED,2015-05-31 22:17:00
40,14,407,1,4.2,CONFIRMED,2015-06-01 07:10:00
41,14,31,1,4.2,CONFIRMED,2015-06-02 10:10:00
42,14,757,1,4.2,CONFIRMED,2015-06-03 05:10:00
43,14,630,1,4.2,CONFIRMED,2015-05-31 17:10:00
44,15,376,1,1.62,CONFIRMED,2015-06-02 05:43:00
45,15,335,3,4.86,CANCELLED,2015-05-31 19:43:00
46,16,613,2,4.42,CONFIRMED,2015-06-02 06:00:00
47,16,399,2,4.42,CANCELLED,2015-06-03 04:00:00
48,16,627,2,4.42,CANCELLED,2015-06-03 16:00:00
49,17,322,1,1.72,CONFIRMED,2015-06-04 15:06:00
50,17,122,2,3.44,CONFIRMED,2015-06-02 21:06:00
51,18,430,1,2.03,CONFIRMED,2015-06-03 22:29:00
52,18,612,1,2.03,CONFIRMED,2015-06-03 22:29:00
53,18,143,1,2.03,CONFIRMED,2015-06-04 20:29:00
54,18,590,1,2.03,CONFIRMED,2015-06-04 15:29:00
55,19,498,2,14.22,CONFIRMED,2015-06-05 18:21:00
56,20,420,1,3.33,CONFIRMED,2015-06-12 05:11:00
57,20,703,1,3.33,CONFIRMED,2015-06-11 11:11:00
58,20,505,1,3.33,CONFIRMED,2015-06-11 11:11:00
59,20,427,1,3.33,CONFIRMED,2015-06-10 05:11:00
60,21,564,1,5.65,CONFIRMED,2015-06-09 18:25:00
61,21,525,1,5.65,CONFIRMED,2015-06-12 10:25:00
62,21,117,1,5.65,CONFIRMED,2015-06-10 09:25:00
63,21,588,1,5.65,CONFIRMED,2015-06-11 08:25:00
64,22,897,2,6.52,CONFIRMED,2015-06-13 17:58:00
65,22,35,2,6.52,CANCELLED,2015-06-13 13:58:00
66,22,462,1,3.26,CONFIRMED,2015-06-12 08:58:00
67,23,171,1,10.39,CANCELLED,2015-06-14 01:24:00
68,23,632,1,10.39,CONFIRMED,2015-06-11 12:24:00
69,23,144,1,10.39,CONFIRMED,2015-06-12 19:24:00
70,23,805,1,10.39,CONFIRMED,2015-06-11 15:24:00
71,24,140,4,72.52,CANCELLED,2015-06-12 23:59:00
72,25,720,1,18.13,CONFIRMED,2015-06-13 01:01:00
73,25,888,1,18.13,CONFIRMED,2015-06-12 16:01:00
74,26,147,1,18.13,CONFIRMED,2015-06-14 11:04:00
75,26,593,1,18.13,CONFIRMED,2015-06-13 09:04:00
76,26,649,1,18.13,CONFIRMED,2015-06-12 06:04:00
77,26,277,1,18.13,CONFIRMED,2015-06-14 09:04:00
78,27,652,1,6.4,CONFIRMED,2015-06-12 19:00:00
79,27,682,1,6.4,PENDING,2015-06-13 18:00:00
80,27,716,1,6.4,CONFIRMED,2015-06-13 09:00:00
81,27,368,1,6.4,CONFIRMED,2015-06-14 05:00:00
82,28,809,1,11.22,CONFIRMED,2015-06-12 12:17:00
83,28,353,1,11.22,CONFIRMED,2015-06-14 02:17:00
84,28,917,1,11.22,CONFIRMED,2015-06-12 16:17:00
85,28,700,1,11.22,PENDING,2015-06-14 06:17:00
86,29,164,2,54.58,CONFIRMED,2015-06-13 09:42:00
87,29,897,2,54.58,CONFIRMED,2015-06-14 10:42:00
88,29,957,1,27.29,CONFIRMED,2015-06-13 16:42:00
89,30,441,1,8.9,CONFIRMED,2015-06-15 08:01:00
90,30,673,1,8.9,CONFIRMED,2015-06-14 16:01:00
91,31,233,1,7.6,CONFIRMED,2015-06-14 19:10:00
92,31,533,2,15.2,CONFIRMED,2015-06-12 21:10:00
93,31,698,1,7.6,CONFIRMED,2015-06-14 23:10:00
94,31,457,3,22.8,CANCELLED,2015-06-14 21:10:00
