review_id,booking_id,reviewer_id,reviewee_id,rating,comment,created_at
1,822,290,864,4,"Nice driver, took a slightly longer route.",2016-05-06 03:14:00
2,1458,806,197,3,Decent ride but took longer than expected.,2016-09-24 17:46:00
3,462,236,947,4,"Good experience, car was clean.",2016-02-05 04:31:00
4,2226,691,364,4,"Good ride overall, no complaints.",2017-08-16 10:18:00
5,653,838,112,5,"Comfortable car, great conversation.",2016-03-11 20:53:00
6,1465,24,200,5,Very professional and courteous.,2016-09-25 01:56:00
7,380,692,95,4,"Comfortable trip, would ride again.",2016-01-12 07:32:00
8,1698,110,33,5,Very professional and courteous.,2016-11-10 08:41:00
9,2430,611,427,5,Highly recommend this driver!,2017-11-29 12:58:00
10,2386,995,412,4,Driver was friendly and mostly on time.,2017-11-25 18:10:00
11,1507,205,995,5,"Fantastic ride, very smooth!",2016-10-03 23:34:00
12,2648,249,513,5,Very professional and courteous.,2018-01-16 02:50:00
13,103,104,34,3,Got there fine but driver was quiet.,2015-06-17 07:30:00
14,23,249,8,4,"Good ride overall, no complaints.",2015-05-20 13:10:00
15,1278,38,816,5,Best Uber experience I've had.,2016-08-04 02:15:00
16,2687,983,524,3,Got there fine but driver was quiet.,2018-01-23 02:11:00
17,400,700,769,4,"Solid ride, arrived safely.",2016-01-12 16:28:00
18,432,498,849,4,"Good experience, car was clean.",2016-02-03 12:07:00
19,1891,117,26,5,"Fantastic ride, very smooth!",2016-12-12 04:16:00
20,1917,655,258,5,"Fantastic ride, very smooth!",2016-12-14 07:50:00
21,1514,674,613,4,Driver was friendly and mostly on time.,2016-10-05 03:18:00
22,1604,592,654,3,Decent ride but took longer than expected.,2016-11-03 11:55:00
23,1484,845,207,4,"Good experience, car was clean.",2016-09-29 10:55:00
24,339,445,115,3,Got there fine but driver was quiet.,2015-12-26 16:22:00
25,839,881,281,4,"Good experience, car was clean.",2016-05-07 10:40:00
26,1213,926,629,5,Very professional and courteous.,2016-07-14 10:26:00
27,270,387,92,4,Driver was friendly and mostly on time.,2015-09-30 22:19:00
28,1806,849,254,4,"Nice driver, took a slightly longer route.",2016-11-30 01:30:00
29,2554,75,475,5,Very professional and courteous.,2017-12-22 04:21:00
30,2227,201,364,3,"Ride was okay, nothing special.",2017-08-15 19:18:00
31,607,826,465,5,Perfect ride from start to finish.,2016-03-07 03:59:00
32,2534,609,160,4,"Nice driver, took a slightly longer route.",2017-12-17 11:06:00
33,1495,474,212,5,Highly recommend this driver!,2016-09-30 22:01:00
34,1129,547,756,3,"Average experience, car could be cleaner.",2016-07-05 04:49:00
35,197,180,66,5,Best Uber experience I've had.,2015-09-18 01:47:00
36,621,114,128,3,"Average experience, car could be cleaner.",2016-03-05 18:35:00
37,36,309,12,3,"Ride was okay, nothing special.",2015-05-31 15:27:00
38,1686,987,599,5,Driver was super friendly and on time.,2016-11-09 05:57:00
39,2705,31,531,4,"Nice driver, took a slightly longer route.",2018-01-27 16:35:00
40,218,290,73,5,Driver was super friendly and on time.,2015-09-24 00:21:00
41,2749,928,550,5,Perfect ride from start to finish.,2018-02-11 01:12:00
42,501,411,246,4,"Solid ride, arrived safely.",2016-02-10 01:08:00
43,503,672,268,5,"Comfortable car, great conversation.",2016-02-10 12:10:00
44,1529,235,716,4,Driver was friendly and mostly on time.,2016-10-09 07:11:00
45,272,664,93,4,"Good ride overall, no complaints.",2015-09-29 22:09:00
46,952,245,979,4,Driver was friendly and mostly on time.,2016-06-05 19:06:00
47,1397,111,841,5,Driver was super friendly and on time.,2016-09-02 06:08:00
48,749,538,332,4,Driver was friendly and mostly on time.,2016-04-10 02:48:00
49,1392,642,188,4,Driver was friendly and mostly on time.,2016-08-28 15:37:00
50,2829,460,578,3,Decent ride but took longer than expected.,2018-03-02 09:47:00
51,2727,853,539,5,"Comfortable car, great conversation.",2018-02-01 19:18:00
52,1219,806,672,4,Driver was friendly and mostly on time.,2016-01-03 02:00:00
53,747,540,332,4,"Good experience, car was clean.",2016-04-09 11:48:00
54,2664,879,518,5,Perfect ride from start to finish.,2018-01-18 11:22:00
55,1704,915,680,4,"Nice driver, took a slightly longer route.",2016-11-10 06:04:00
56,1142,423,582,4,"Good experience, car was clean.",2016-07-05 09:28:00
57,867,35,845,5,Driver was super friendly and on time.,2016-05-11 15:26:00
58,176,394,56,4,Driver was friendly and mostly on time.,2015-09-13 19:57:00
59,300,604,101,4,"Nice driver, took a slightly longer route.",2015-10-21 23:40:00
60,69,144,23,4,"Good ride overall, no complaints.",2015-06-15 13:18:00
61,1899,860,94,4,Driver was friendly and mostly on time.,2016-12-12 20:21:00
62,1156,25,333,5,Perfect ride from start to finish.,2016-07-06 09:53:00
63,2335,965,399,5,Best Uber experience I've had.,2017-11-23 14:39:00
64,40,407,14,3,Driver seemed distracted at times.,2015-06-03 21:14:00
65,54,590,18,4,"Good experience, car was clean.",2015-06-07 15:59:00
66,609,451,465,3,Driver seemed distracted at times.,2016-03-07 07:59:00
67,92,533,31,4,"Good experience, car was clean.",2015-06-15 18:37:00
68,326,758,110,5,"Comfortable car, great conversation.",2015-11-28 07:42:00
69,2755,616,552,3,"Average experience, car could be cleaner.",2018-02-11 19:46:00
70,2340,576,400,4,"Solid ride, arrived safely.",2017-11-23 05:44:00
71,2708,973,532,4,"Good experience, car was clean.",2018-01-29 05:18:00
72,1873,305,571,3,Driver seemed distracted at times.,2016-12-08 22:02:00
73,82,809,28,4,"Nice driver, took a slightly longer route.",2015-06-16 02:46:00
74,51,430,18,4,"Comfortable trip, would ride again.",2015-06-07 00:59:00
75,1466,549,201,4,"Nice driver, took a slightly longer route.",2016-09-25 16:46:00
76,2235,304,115,5,"Comfortable car, great conversation.",2017-08-19 16:59:00
77,676,639,112,4,"Good experience, car was clean.",2016-03-13 13:35:00
78,344,77,118,4,"Solid ride, arrived safely.",2016-01-01 17:13:00
79,2074,284,308,4,"Nice driver, took a slightly longer route.",2017-05-25 00:03:00
80,877,72,575,4,"Nice driver, took a slightly longer route.",2016-05-12 00:31:00
81,2852,191,585,5,Perfect ride from start to finish.,2018-03-07 04:44:00
82,506,745,791,5,Very professional and courteous.,2016-02-11 10:50:00
83,2872,476,593,3,"Ride was okay, nothing special.",2018-03-14 18:42:00
84,1196,975,412,3,"Average experience, car could be cleaner.",2016-07-12 11:17:00
85,409,688,590,5,"Fantastic ride, very smooth!",2016-01-14 06:00:00
86,2956,744,628,4,"Comfortable trip, would ride again.",2018-04-28 08:05:00
87,285,910,1,4,Driver was friendly and mostly on time.,2015-10-01 23:55:00
88,683,576,129,4,"Nice driver, took a slightly longer route.",2016-03-15 05:30:00
89,2103,73,317,3,Driver seemed distracted at times.,2017-06-05 23:35:00
90,2256,934,373,4,"Nice driver, took a slightly longer route.",2017-08-20 10:10:00
91,2611,465,497,5,Perfect ride from start to finish.,2018-01-07 14:52:00
92,2262,135,376,5,Very professional and courteous.,2017-08-22 00:26:00
93,1390,784,188,4,"Nice driver, took a slightly longer route.",2016-08-27 21:37:00
94,1953,327,265,5,Perfect ride from start to finish.,2016-12-21 12:04:00
95,854,172,801,4,"Solid ride, arrived safely.",2016-05-08 09:44:00
96,46,613,16,4,"Solid ride, arrived safely.",2015-06-04 12:34:00
97,2383,249,410,4,"Nice driver, took a slightly longer route.",2017-11-26 18:49:00
98,2022,196,289,4,Driver was friendly and mostly on time.,2017-01-27 06:22:00
99,766,994,773,3,"Average experience, car could be cleaner.",2016-04-13 05:26:00
100,531,124,687,4,"Comfortable trip, would ride again.",2016-02-13 08:35:00
101,301,315,101,4,"Good ride overall, no complaints.",2015-10-20 10:40:00
102,657,691,209,5,Driver was super friendly and on time.,2016-03-12 01:55:00
103,1370,747,534,4,"Good ride overall, no complaints.",2016-08-12 18:29:00
104,1515,70,881,5,Best Uber experience I've had.,2016-10-06 21:36:00
105,2938,774,618,4,"Nice driver, took a slightly longer route.",2018-04-12 15:26:00
106,1356,725,989,4,"Nice driver, took a slightly longer route.",2016-08-12 10:24:00
107,2901,576,602,4,"Good experience, car was clean.",2018-03-20 09:36:00
108,2353,648,404,4,Driver was friendly and mostly on time.,2017-11-23 18:13:00
109,655,327,523,4,"Nice driver, took a slightly longer route.",2016-03-12 03:37:00
110,484,592,998,4,"Good experience, car was clean.",2016-02-07 00:21:00
111,2439,213,429,5,Perfect ride from start to finish.,2017-11-28 11:08:00
112,1007,68,864,4,"Solid ride, arrived safely.",2016-06-08 20:53:00
113,810,317,144,4,Driver was friendly and mostly on time.,2016-05-04 07:45:00
114,1391,98,188,5,Clean car and great driver!,2016-08-28 19:37:00
115,325,469,109,3,Got there fine but driver was quiet.,2015-11-14 20:17:00
116,1040,202,800,4,"Comfortable trip, would ride again.",2016-06-12 05:39:00
117,53,143,18,4,"Comfortable trip, would ride again.",2015-06-07 20:59:00
118,770,89,698,4,Driver was friendly and mostly on time.,2016-04-13 06:18:00
119,2281,856,382,4,"Solid ride, arrived safely.",2017-09-14 18:58:00
120,2650,507,513,3,Driver seemed distracted at times.,2018-01-15 13:50:00
121,1221,640,176,4,"Solid ride, arrived safely.",2016-07-14 13:35:00
122,735,420,921,4,"Nice driver, took a slightly longer route.",2016-04-06 22:55:00
123,861,277,218,4,"Solid ride, arrived safely.",2016-05-10 13:25:00
124,1350,570,178,3,Decent ride but took longer than expected.,2016-08-09 19:37:00
125,2357,527,405,3,Got there fine but driver was quiet.,2017-11-24 23:44:00
126,1114,197,748,3,"Ride was okay, nothing special.",2016-07-03 00:36:00
127,2882,362,595,3,"Average experience, car could be cleaner.",2018-03-16 11:45:00
128,550,334,126,4,"Comfortable trip, would ride again.",2016-02-26 20:23:00
129,1018,705,415,5,Best Uber experience I've had.,2016-06-08 15:37:00
130,2437,354,429,5,Driver was super friendly and on time.,2017-11-29 10:08:00
131,1750,170,89,4,Driver was friendly and mostly on time.,2016-11-12 16:25:00
132,1749,77,89,4,"Comfortable trip, would ride again.",2016-11-12 13:25:00
133,782,894,141,4,"Good experience, car was clean.",2016-05-01 12:08:00
134,2681,989,138,5,Perfect ride from start to finish.,2018-01-21 20:52:00
135,987,158,755,3,Got there fine but driver was quiet.,2016-06-08 14:00:00
136,1365,725,430,5,"Comfortable car, great conversation.",2016-08-11 21:28:00
137,1423,23,191,4,"Comfortable trip, would ride again.",2016-09-10 17:12:00
