ride_id,driver_id,vehicle_id,origin_city_id,destination_city_id,departure_time,arrival_time,price_per_seat,suggested_price,status,created_at
1,1,1,1.0,310.0,2015-05-11 17:26:00,2015-05-11 17:55:00,5.17,5.17,COMPLETED,2015-05-11 18:55:00
2,2,2,2.0,7.0,2015-05-11 18:46:00,2015-05-11 19:12:00,4.97,4.97,COMPLETED,2015-05-11 20:12:00
3,3,3,1.0,311.0,2015-05-13 09:15:00,2015-05-13 10:38:00,13.01,13.01,COMPLETED,2015-05-13 11:38:00
4,4,4,3.0,312.0,2015-05-16 00:24:00,2015-05-16 00:44:00,25.99,75.37,COMPLETED,2015-05-16 01:44:00
5,5,2,4.0,1.0,2015-05-16 01:29:00,2015-05-16 02:18:00,13.43,18.8,COMPLETED,2015-05-16 03:18:00
6,6,2,5.0,6.0,2015-05-18 09:32:00,2015-05-18 10:06:00,4.06,4.06,COMPLETED,2015-05-18 11:06:00
7,7,5,6.0,1.0,2015-05-18 21:24:00,2015-05-18 22:08:00,9.4,9.4,COMPLETED,2015-05-18 23:08:00
8,8,2,7.0,313.0,2015-05-19 07:12:00,2015-05-19 08:10:00,8.7,8.7,COMPLETED,2015-05-19 09:10:00
9,9,6,8.0,314.0,2015-05-19 11:22:00,2015-05-19 11:37:00,3.27,3.27,COMPLETED,2015-05-19 12:37:00
10,10,7,6.0,1.0,2015-05-19 21:00:00,2015-05-19 21:33:00,7.06,7.06,COMPLETED,2015-05-19 22:33:00
11,11,2,9.0,314.0,2015-05-20 09:42:00,2015-05-20 10:08:00,4.27,4.27,COMPLETED,2015-05-20 11:08:00
12,12,2,10.0,315.0,2015-05-31 13:00:00,2015-05-31 13:27:00,7.66,7.66,COMPLETED,2015-05-31 14:27:00
13,13,8,11.0,12.0,2015-06-01 22:17:00,2015-06-01 22:45:00,7.48,7.48,COMPLETED,2015-06-01 23:45:00
14,14,1,12.0,316.0,2015-06-03 14:10:00,2015-06-03 15:14:00,4.2,4.2,COMPLETED,2015-06-03 16:14:00
15,15,2,13.0,13.0,2015-06-03 15:43:00,2015-06-03 16:20:00,1.62,1.62,COMPLETED,2015-06-03 17:20:00
16,16,9,14.0,316.0,2015-06-04 03:00:00,2015-06-04 03:34:00,2.21,2.21,COMPLETED,2015-06-04 04:34:00
17,17,10,12.0,317.0,2015-06-05 15:06:00,2015-06-05 15:31:00,1.72,1.72,COMPLETED,2015-06-05 16:31:00
