vehicle_id,user_id,make,model,year,color,license_plate,total_seats
1,31,Nissan,Rogue,2011,Black,HFT-6804,5
2,891,Honda,Civic,2009,White,POS-7442,5
3,619,Toyota,Camry,2010,Blue,IEY-3008,5
4,592,Chevrolet,Equinox,2009,Blue,NZJ-5868,5
5,374,Ford,Mustang,2007,Black,FHC-2126,4
6,474,Ford,F-150,2015,White,RSR-0652,6
7,324,Mercedes-Benz,GLE,2014,Orange,QOR-8720,5
8,147,Tesla,Model 3,2019,Black,XOS-2486,5
9,522,Chevrolet,Equinox,2012,White,OGP-8329,5
10,480,Volkswagen,Tiguan,2010,Blue,WDE-6535,5
11,115,Hyundai,Sonata,2014,Orange,WAS-6526,5
12,641,Chevrolet,Malibu,2018,Black,ASS-9751,5
13,20,BMW,3 Series,2022,Gray,DTO-7503,5
14,71,Honda,CR-V,2016,Brown,VHB-8904,5
15,553,Audi,A4,2023,Navy,DMO-2842,5
16,22,Audi,A4,2012,Blue,KRJ-8420,5
17,244,Kia,Sportage,2023,White,FBQ-2980,5
18,100,Chevrolet,Tahoe,2020,White,DYO-4781,8
19,820,Subaru,Outback,2018,White,KWB-6607,5
20,877,Honda,Accord,2010,Black,NDE-4808,5
21,219,Kia,Sorento,2011,Black,ZVZ-9814,7
22,803,Tesla,Model 3,2017,Black,AKY-7267,5
23,515,Kia,Sorento,2023,Black,HZP-5705,7
24,584,Hyundai,Sonata,2011,Black,NWB-0849,5
25,245,Chevrolet,Silverado,2022,Gray,QKP-5927,6
26,103,Chevrolet,Equinox,2020,Black,QLY-9065,5
27,721,Toyota,Sienna,2021,White,GYW-8318,8
28,567,BMW,3 Series,2022,Black,VHR-9111,5
29,53,Honda,Odyssey,2013,White,FIR-8529,8
30,438,Honda,Civic,2023,Silver,HAU-6275,5
31,43,Kia,Sorento,2008,Black,YRD-0354,7
32,906,BMW,3 Series,2017,Beige,UWX-2217,5
33,947,Tesla,Model S,2021,Blue,YGE-7141,5
34,228,BMW,X5,2020,Navy,WVG-7188,5
35,792,Ford,Mustang,2019,White,VWF-6320,4
36,986,Chevrolet,Tahoe,2016,Red,KZN-9191,8
37,261,Chevrolet,Equinox,2009,Black,LSI-6535,5
38,681,Toyota,RAV4,2019,Black,YNS-7630,5
39,197,BMW,X5,2017,Red,DXN-6365,5
40,441,Tesla,Model S,2022,Gold,RXQ-3502,5
41,528,Kia,Sportage,2016,Silver,LFM-9710,5
42,626,Subaru,Outback,2015,Black,YGI-8109,5
43,915,Audi,Q5,2010,Silver,XOS-3316,5
44,137,Audi,A4,2009,Navy,FUS-4591,5
45,562,Volkswagen,Jetta,2021,Orange,PYX-6758,5
46,282,Tesla,Model Y,2021,Blue,MGG-6756,5
47,220,Tesla,Model Y,2020,Blue,GIX-0131,5
48,878,Toyota,Sienna,2017,Silver,OKF-4956,8
49,820,Audi,A4,2018,Silver,YHK-8857,5
50,942,Nissan,Altima,2012,Silver,HMK-6778,5
51,389,Honda,Pilot,2023,Black,KOA-6140,8
52,768,BMW,5 Series,2012,Silver,IWH-9484,5
53,21,Hyundai,Tucson,2007,Yellow,JQU-6791,5
54,987,Nissan,Sentra,2009,White,MCY-4236,5
55,965,Dodge,Durango,2011,Navy,EIP-9593,7
56,580,Jeep,Grand Cherokee,2011,Black,RQC-7861,5
57,371,Toyota,RAV4,2017,Gray,RBQ-0444,5
58,447,Nissan,Rogue,2022,Blue,LTZ-2854,5
59,345,Dodge,Charger,2014,White,GYH-4756,5
60,11,Toyota,Corolla,2018,Green,EFU-3872,5
61,96,Hyundai,Sonata,2012,Black,SMT-6647,5
62,361,Chevrolet,Malibu,2012,Silver,GRJ-5395,5
63,222,Jeep,Wrangler,2019,White,GDF-1571,5
64,310,Dodge,Durango,2023,White,PTP-9823,7
65,13,Toyota,Camry,2022,Black,BBH-9671,5
66,76,Kia,Optima,2015,Silver,LEB-9484,5
67,634,Kia,Optima,2007,Black,VYC-2545,5
68,758,Ford,Transit,2022,Gray,LLW-9366,8
69,482,Honda,Accord,2009,Red,GCG-5146,5
70,678,Chevrolet,Malibu,2006,White,SSL-6976,5
71,845,Ford,Mustang,2018,Black,FDG-1075,4
72,911,Kia,Optima,2015,Silver,MHK-2545,5
73,842,Tesla,Model X,2020,Gray,AFR-8507,7
74,504,Chevrolet,Tahoe,2023,Black,TMQ-9156,8
75,834,Honda,Civic,2018,White,IRW-3629,5
76,891,Audi,A4,2023,Black,CGD-7880,5
77,950,Hyundai,Tucson,2020,Silver,EJT-6725,5
78,418,Chevrolet,Malibu,2019,Brown,MAQ-7730,5
79,280,Honda,Civic,2010,Yellow,XLD-8475,5
80,283,Tesla,Model S,2019,Orange,GOJ-9588,5
81,676,Audi,Q5,2021,Green,IUG-0785,5
82,715,Volkswagen,Tiguan,2022,Black,OIO-5431,5
83,812,Chevrolet,Silverado,2022,White,WKI-4939,6
84,468,Nissan,Pathfinder,2009,Silver,ANP-8845,7
85,873,Toyota,Camry,2009,Silver,REM-9366,5
86,295,BMW,X5,2019,Gold,QXM-5626,5
87,333,Ford,Transit,2021,Black,ZTS-1120,8
88,392,Toyota,Highlander,2017,White,LGK-6116,7
89,295,Nissan,Sentra,2012,Silver,PGQ-4684,5
90,204,Subaru,Forester,2022,Black,LIP-6428,5
91,282,Mercedes-Benz,GLE,2023,Silver,GOO-9296,5
92,236,Toyota,Camry,2023,Brown,UZX-7897,5
93,643,Nissan,Altima,2016,White,EGT-7610,5
94,136,Nissan,Pathfinder,2006,White,LPT-0271,7
95,347,Hyundai,Tucson,2017,Gray,XVG-8487,5
96,375,Honda,CR-V,2019,Gold,DZW-7998,5
97,111,Honda,Civic,2015,Black,NLR-6589,5
98,718,Subaru,Forester,2012,Silver,QYI-6664,5
99,380,BMW,3 Series,2019,Black,BAZ-1253,5
100,34,Subaru,Outback,2022,Silver,TEK-0449,5
101,63,Jeep,Wrangler,2016,White,LGJ-9396,5
102,806,Tesla,Model 3,2019,Black,DWL-6650,5
103,793,BMW,X5,2014,Orange,UFV-5582,5
104,367,Honda,Odyssey,2005,White,ZZO-7181,8
105,526,Chevrolet,Silverado,2022,White,EBT-5747,6
106,32,Kia,Sportage,2009,Silver,FPS-9636,5
107,130,Toyota,Highlander,2023,Green,LCS-4831,7
108,874,Chevrolet,Tahoe,2023,Gray,IZN-4607,8
109,438,Nissan,Pathfinder,2022,Blue,FLF-3440,7
110,832,BMW,5 Series,2014,White,DXB-8007,5
111,938,Honda,Pilot,2023,Black,YOR-4894,8
112,866,Dodge,Charger,2007,Gold,PJP-2621,5
113,571,Kia,Sorento,2019,Black,HFL-5766,7
114,891,Toyota,Corolla,2022,Beige,VGE-7330,5
115,162,Honda,Odyssey,2023,Red,BTZ-0534,8
116,279,Mercedes-Benz,E-Class,2015,Blue,UOC-0166,5
117,499,Tesla,Model Y,2023,Silver,LHT-1426,5
118,336,Hyundai,Sonata,2015,Black,KPA-3212,5
119,407,Honda,CR-V,2005,Silver,LDN-2563,5
120,415,Dodge,Durango,2009,Silver,LCI-4462,7
121,411,Toyota,Corolla,2013,Black,YLR-3414,5
122,928,Hyundai,Sonata,2008,Silver,III-1515,5
123,778,Audi,Q5,2014,White,YQD-1211,5
124,651,Nissan,Pathfinder,2007,Black,UMT-7495,7
125,520,Nissan,Sentra,2015,Brown,QDB-4320,5
126,394,Toyota,Sienna,2013,Silver,AJH-6905,8
127,155,Volkswagen,Jetta,2023,Gray,UXL-8634,5
128,450,Toyota,Highlander,2022,Black,XIS-5124,7
129,343,Hyundai,Sonata,2022,Gray,JXK-7606,5
130,597,Toyota,Sienna,2014,Black,RHS-6983,8
131,659,Subaru,Outback,2009,Beige,IRR-1705,5
132,372,BMW,X5,2011,Red,VTR-5643,5
133,520,BMW,3 Series,2011,Gold,ITE-9127,5
134,852,Audi,Q5,2017,Green,WAI-7131,5
135,240,Jeep,Wrangler,2010,Blue,BJS-9677,5
136,289,Hyundai,Tucson,2013,White,VMV-3994,5
137,381,Audi,Q5,2015,Silver,KEF-6804,5
138,94,Kia,Sorento,2011,Blue,NDC-1458,7
139,29,Ford,Transit,2023,Silver,JAB-5293,8
140,723,BMW,5 Series,2009,Green,QUD-2861,5
141,795,Volkswagen,Passat,2019,Red,XAF-1964,5
142,17,Chevrolet,Malibu,2012,White,BKU-4195,5
143,370,Nissan,Rogue,2015,Blue,HAJ-5165,5
144,766,Toyota,Sienna,2020,Gray,UNA-8033,8
145,560,Toyota,Corolla,2014,Navy,ITQ-7730,5
146,38,BMW,X5,2012,Green,RZM-1179,5
147,772,Chevrolet,Malibu,2011,Black,FBY-5952,5
148,451,Nissan,Pathfinder,2011,White,WBR-2744,7
